year,scenario,gmst_C
2041,ssp5_8_5,14.5997
2042,ssp5_8_5,14.8122
2043,ssp5_8_5,15.0237
2044,ssp5_8_5,14.8036
2045,ssp5_8_5,14.9744
2046,ssp5_8_5,15.1484
2047,ssp5_8_5,15.1528
2048,ssp5_8_5,15.3059
2049,ssp5_8_5,15.3497
2050,ssp5_8_5,15.3268
2051,ssp5_8_5,15.3404
2052,ssp5_8_5,15.6644
2053,ssp5_8_5,15.4322
2054,ssp5_8_5,15.57
2055,ssp5_8_5,15.8191
2056,ssp5_8_5,15.6459
2057,ssp5_8_5,15.5445
2058,ssp5_8_5,15.7694
2059,ssp5_8_5,16.0776
2060,ssp5_8_5,16.0186
2061,ssp5_8_5,16.0187
2062,ssp5_8_5,16.1988
2063,ssp5_8_5,16.0495
2064,ssp5_8_5,16.2511
2065,ssp5_8_5,16.2575
2066,ssp5_8_5,16.5107
2067,ssp5_8_5,16.5939
2068,ssp5_8_5,16.6034
2069,ssp5_8_5,16.5285
2070,ssp5_8_5,16.6862
2071,ssp5_8_5,16.6363
2072,ssp5_8_5,16.9133
2073,ssp5_8_5,17.059
2074,ssp5_8_5,16.9655
2075,ssp5_8_5,17.0945
2076,ssp5_8_5,17.1222
2077,ssp5_8_5,17.3067
2078,ssp5_8_5,17.4082
2079,ssp5_8_5,17.4416
2080,ssp5_8_5,17.4103
2081,ssp5_8_5,17.5311
2082,ssp5_8_5,17.5784
2083,ssp5_8_5,17.8328
2084,ssp5_8_5,17.8469
2085,ssp5_8_5,18.028
2086,ssp5_8_5,18.1281
2087,ssp5_8_5,18.025
2088,ssp5_8_5,18.1303
2089,ssp5_8_5,18.3752
2090,ssp5_8_5,18.1654
2091,ssp5_8_5,18.4426
2092,ssp5_8_5,18.4764
2093,ssp5_8_5,18.5886
2094,ssp5_8_5,18.7981
2095,ssp5_8_5,18.9423
2096,ssp5_8_5,18.9842
2097,ssp5_8_5,19.1815
2098,ssp5_8_5,19.2287
2099,ssp5_8_5,19.3406
2100,ssp5_8_5,19.1603
